,open,high,low,close,volume
2014-10-28 14:30:00,783.77,785.32,782.99,783.77,41650.0
2014-10-28 14:45:00,783.77,787.64,782.99,787.64,71772.0
2014-10-28 15:00:00,787.64,788.41,786.09,786.86,57823.0
2014-10-29 09:45:00,788.41,792.28,788.41,791.51,84873.0
2014-10-29 10:00:00,790.73,790.73,786.09,786.86,61192.0
2014-10-29 10:15:00,786.86,787.64,784.54,785.32,43420.0
2014-10-29 10:30:00,786.09,786.86,785.32,786.86,28234.0
2014-10-29 10:45:00,786.09,787.64,785.32,786.86,41982.0
2014-10-29 11:00:00,786.86,787.64,785.32,786.09,54966.0
2014-10-29 11:15:00,786.09,789.96,786.09,788.41,52027.0
2014-10-29 11:30:00,789.18,795.37,788.41,794.6,132277.0
2014-10-29 13:15:00,795.37,800.79,794.6,800.02,301280.0
2014-10-29 13:30:00,800.02,802.34,796.92,798.47,198690.0
2014-10-29 13:45:00,798.47,799.24,795.37,796.15,73871.0
2014-10-29 14:00:00,795.37,800.02,795.37,796.92,102292.0
2014-10-29 14:15:00,796.92,797.7,796.15,796.15,39205.0
2014-10-29 14:30:00,796.15,796.15,793.83,795.37,41359.0
2014-10-29 14:45:00,794.6,796.92,793.83,796.92,51832.0
2014-10-29 15:00:00,796.92,797.7,796.15,796.92,69336.0
2014-10-30 09:45:00,797.7,797.7,793.05,794.6,75501.0
2014-10-30 10:00:00,793.83,795.37,791.51,792.28,77968.0
2014-10-30 10:15:00,792.28,796.92,792.28,793.83,59938.0
2014-10-30 10:30:00,793.05,794.6,792.28,794.6,33459.0
2014-10-30 10:45:00,794.6,794.6,792.28,792.28,37052.0
2014-10-30 11:00:00,792.28,794.6,790.73,793.83,79217.0
2014-10-30 11:15:00,794.6,794.6,791.51,792.28,57798.0
2014-10-30 11:30:00,792.28,793.05,789.96,790.73,43816.0
2014-10-30 13:15:00,789.96,792.28,789.96,790.73,29306.0
2014-10-30 13:30:00,790.73,793.05,789.96,791.51,38922.0
2014-10-30 13:45:00,792.28,794.6,791.51,793.05,68734.0
2014-10-30 14:00:00,793.05,806.21,792.28,804.66,447908.0
2014-10-30 14:15:00,804.66,815.49,803.11,812.4,496153.0
2014-10-30 14:30:00,813.17,813.94,806.21,806.98,211890.0
2014-10-30 14:45:00,806.98,809.3,806.21,806.21,103333.0
2014-10-30 15:00:00,806.98,808.53,805.43,806.98,104377.0
2014-10-31 09:45:00,812.4,822.45,810.07,821.68,494616.0
2014-10-31 10:00:00,820.91,830.19,817.81,827.87,530775.0
2014-10-31 10:15:00,827.1,832.51,823.23,830.96,404502.0
2014-10-31 10:30:00,830.19,832.51,819.36,822.45,222791.0
2014-10-31 10:45:00,822.45,827.1,817.81,818.59,128159.0
2014-10-31 11:00:00,818.59,826.32,818.59,824.0,67608.0
2014-10-31 11:15:00,823.23,841.02,822.45,837.15,551357.0
2014-10-31 11:30:00,837.93,849.53,836.38,846.44,452112.0
2014-10-31 13:15:00,847.99,878.16,847.99,865.78,679865.0
2014-10-31 13:30:00,866.56,868.1,853.4,854.95,207967.0
2014-10-31 13:45:00,854.18,854.95,847.99,852.63,234917.0
2014-10-31 14:00:00,852.63,854.95,850.31,853.4,104726.0
2014-10-31 14:15:00,852.63,861.91,852.63,854.18,127594.0
2014-10-31 14:30:00,854.18,859.59,854.18,856.5,131381.0
2014-10-31 14:45:00,857.27,858.82,853.4,855.72,121554.0
2014-10-31 15:00:00,856.5,857.27,853.4,853.4,184044.0
2014-11-03 09:45:00,863.46,868.88,854.18,854.18,572251.0
2014-11-03 10:00:00,854.18,861.14,851.08,858.04,238012.0
2014-11-03 10:15:00,857.27,860.37,850.31,856.5,224295.0
2014-11-03 10:30:00,855.72,859.59,851.08,858.82,168809.0
2014-11-03 10:45:00,858.82,861.91,856.5,861.91,129291.0
2014-11-03 11:00:00,861.14,861.91,853.4,854.95,110107.0
2014-11-03 11:15:00,854.18,856.5,853.4,855.72,49965.0
2014-11-03 11:30:00,855.72,865.78,854.95,865.01,171154.0
2014-11-03 13:15:00,865.01,865.01,857.27,859.59,99607.0
2014-11-03 13:30:00,860.37,863.46,858.04,859.59,70109.0
2014-11-03 13:45:00,862.69,862.69,858.82,860.37,76134.0
2014-11-03 14:00:00,860.37,862.69,858.82,861.14,75317.0
2014-11-03 14:15:00,860.37,861.14,852.63,857.27,142991.0
2014-11-03 14:30:00,856.5,857.27,854.18,855.72,88656.0
2014-11-03 14:45:00,856.5,862.69,855.72,861.14,133215.0
2014-11-03 15:00:00,861.91,861.91,858.82,859.59,127541.0
2014-11-04 09:45:00,862.69,862.69,842.57,844.89,320282.0
2014-11-04 10:00:00,844.89,854.95,843.34,847.21,189314.0
2014-11-04 10:15:00,847.21,852.63,846.44,848.76,95970.0
2014-11-04 10:30:00,848.76,852.63,847.21,850.31,115965.0
2014-11-04 10:45:00,851.08,851.08,843.34,845.67,121283.0
2014-11-04 11:00:00,844.89,847.21,843.34,846.44,56887.0
2014-11-04 11:15:00,845.67,851.08,844.12,844.89,76982.0
2014-11-04 11:30:00,844.89,848.76,841.02,847.21,85697.0
2014-11-04 13:15:00,848.76,851.85,846.44,849.53,80580.0
2014-11-04 13:30:00,850.31,851.08,846.44,846.44,35405.0
2014-11-04 13:45:00,845.67,847.99,842.57,844.89,72082.0
2014-11-04 14:00:00,845.67,846.44,843.34,844.89,39030.0
2014-11-04 14:15:00,844.89,847.21,844.12,844.89,39681.0
2014-11-04 14:30:00,845.67,845.67,843.34,844.89,50910.0
2014-11-04 14:45:00,844.89,846.44,842.57,842.57,73694.0
